"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"galileo:Inst:1                          ","Class","Inst","1.0.0.0","galileo","The Galileo class is the container for Galileo specific metadata elements.","ppi","","","","","","","","","","",""
"galileo:Inst:2                           galileo:brightness:1                    ","Attribute","brightness","n/a","galileo","The background brightness used for automatic exposure time calculation. ","ppi","ASCII_Integer","0","1","0","4095","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"galileo:Inst:2                           galileo:max_exposure:1                  ","Attribute","max_exposure","n/a","galileo","The maximum allowable exposure time from an automatic exposure time calculation. ","ppi","ASCII_Integer","0","1","0","989","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"galileo:GALILEO:1                       ","Class","GALILEO","1.0.0.0","galileo","The GALILEO class is the container for mission-specific metadata elements.","ppi","","","","","","","","","","",""
"galileo:GALILEO:2                        galileo:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","galileo","The mission_phase_name attribute provides the mission-defined name of a mission phase.","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Launch","Value","Launch","","","1989-10-17 (1989-290)to 1989-10-17 (1989-299)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Interplanetary Cruis","Value","Interplanetary Cruise","","","1989-10-17 (1989-290) to 1989-10-26 (1989-299)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth Venus Cruise","Value","Earth Venus Cruise","","","1989-10-26 (1989-299) to 1995-10-09 (1995-282)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:4-Day Checkout","Value","4-Day Checkout","","","1989-10-26 (1989-299) to 1990-02-19 (1990-50)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Venus Encounter","Value","Venus Encounter","","","1989-12-27 (1989-361) to 1989-12-31 (1989-365)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Venus Earth Cruise","Value","Venus Earth Cruise","","","1990-02-07 (1990-38) to 1990-02-19 (1990-50)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth1 Encounter","Value","Earth1 Encounter","","","1990-02-19 (1990-50) to 1991-04-21 (1991-119)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth-Earth Cruise","Value","Earth-Earth Cruise","","","1990-11-08 (1990-312) to 1990-12-16 (1990-350)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:GASPRA Encounter","Value","GASPRA Encounter","","","1991-04-29 (1990-119) to 1993-04-12 (1993-102)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth Jupiter Cruise","Value","Earth Jupiter Cruise","","","1990-02-19 (1990-50) to 1991-04-21 (1991-111)"
